Quat_X	Quat_Y	Quat_Z	Quat_W	Roll(deg)	Pitch(deg)	Yaw(deg)
0.004184	0.006878	-0.038514	0.999226	0.448773	0.806042	-4.411456
-0.001205	0.006799	-0.060014	0.998174	-0.184605	0.769421	-6.882634
-0.001205	0.006799	-0.060014	0.998174	-0.184605	0.769421	-6.882634
-0.001205	0.006799	-0.060014	0.998174	-0.184605	0.769421	-6.882634
-0.001205	0.006799	-0.060014	0.998174	-0.184605	0.769421	-6.882634
-0.000938	0.006896	-0.059618	0.998197	-0.154419	0.782415	-6.836993
-0.001396	0.005621	-0.086162	0.996264	-0.214884	0.627942	-9.887042
-0.001396	0.005621	-0.086162	0.996264	-0.214884	0.627942	-9.887042
-0.001396	0.005621	-0.086162	0.996264	-0.214884	0.627942	-9.887042
-0.001396	0.005621	-0.086162	0.996264	-0.214884	0.627942	-9.887042
-0.001427	0.005634	-0.085889	0.996288	-0.218379	0.629180	-9.855659
-0.000884	0.005464	-0.114096	0.993454	-0.172085	0.610484	-13.104095
-0.000884	0.005464	-0.114096	0.993454	-0.172085	0.610484	-13.104095
-0.000884	0.005464	-0.114096	0.993454	-0.172085	0.610484	-13.104095
-0.000883	0.005499	-0.113541	0.993518	-0.172085	0.614577	-13.040081
-0.000696	0.006668	-0.137291	0.990508	-0.183918	0.745915	-15.783792
-0.000696	0.006668	-0.137291	0.990508	-0.183918	0.745915	-15.783792
-0.000696	0.006668	-0.137291	0.990508	-0.183918	0.745915	-15.783792
-0.000945	0.007854	-0.137312	0.990496	-0.230869	0.876614	-15.786933
-0.002077	0.007355	-0.148046	0.988951	-0.360190	0.798298	-17.030422
-0.002077	0.007355	-0.148046	0.988951	-0.360190	0.798298	-17.030422
-0.002077	0.007355	-0.148046	0.988951	-0.360190	0.798298	-17.030422
-0.002077	0.007355	-0.148046	0.988951	-0.360190	0.798298	-17.030422
-0.002410	0.008005	-0.148529	0.988873	-0.409389	0.866112	-17.087070
-0.001393	0.007490	-0.150644	0.988559	-0.287127	0.824452	-17.331066
-0.001393	0.007490	-0.150644	0.988559	-0.287127	0.824452	-17.331066
-0.001393	0.007490	-0.150644	0.988559	-0.287127	0.824452	-17.331066
-0.001393	0.007490	-0.150644	0.988559	-0.287127	0.824452	-17.331066
-0.000845	0.008209	-0.150269	0.988611	-0.237113	0.915457	-17.287514
-0.002066	0.006791	-0.153997	0.988046	-0.353786	0.732450	-17.719968
-0.002066	0.006791	-0.153997	0.988046	-0.353786	0.732450	-17.719968
-0.002066	0.006791	-0.153997	0.988046	-0.353786	0.732450	-17.719968
-0.001358	0.008138	-0.153323	0.988142	-0.296788	0.897665	-17.642022
-0.002637	0.007617	-0.155226	0.987846	-0.434042	0.815357	-17.863483
